year,abbr,state,occtitle,totalemp,latitude,longitude
2007,AL,Alabama,"Management occupations",78560,32.799,-86.8073
2007,AL,Alabama,"Business and financial operations occupations",62440,32.799,-86.8073
2007,AL,Alabama,"Computer and mathematical occupations",33790,32.799,-86.8073
2007,AL,Alabama,"Architecture and engineering occupations",42220,32.799,-86.8073
2007,AL,Alabama,"Life, physical, and social science occupations",10070,32.799,-86.8073
2007,AL,Alabama,"Community and social services occupations",18900,32.799,-86.8073
2007,AL,Alabama,"Legal occupations",9910,32.799,-86.8073
2007,AL,Alabama,"Education, training, and library occupations",106980,32.799,-86.8073
2007,AL,Alabama,"Arts, design, entertainment, sports, and media occupations",17780,32.799,-86.8073
2007,AL,Alabama,"Healthcare practitioners and technical occupations",111580,32.799,-86.8073
2007,AL,Alabama,"Healthcare support occupations",48300,32.799,-86.8073
2007,AL,Alabama,"Protective service occupations",41510,32.799,-86.8073
2007,AL,Alabama,"Food preparation and serving related occupations",153960,32.799,-86.8073
2007,AL,Alabama,"Building and grounds cleaning and maintenance occupations",55400,32.799,-86.8073
2007,AL,Alabama,"Personal care and service occupations",33340,32.799,-86.8073
2007,AL,Alabama,"Sales and related occupations",212360,32.799,-86.8073
2007,AL,Alabama,"Office and administrative support occupations",307620,32.799,-86.8073
2007,AL,Alabama,"Farming, fishing, and forestry occupations",6750,32.799,-86.8073
2007,AL,Alabama,"Construction and extraction occupations",101740,32.799,-86.8073
2007,AL,Alabama,"Installation, maintenance, and repair occupations",93920,32.799,-86.8073
2007,AL,Alabama,"Production occupations",224400,32.799,-86.8073
2007,AL,Alabama,"Transportation and material moving occupations",160430,32.799,-86.8073
2007,AK,Alaska,"Management occupations",23620,61.385,-152.2683
2007,AK,Alaska,"Business and financial operations occupations",9510,61.385,-152.2683
2007,AK,Alaska,"Computer and mathematical occupations",3850,61.385,-152.2683
2007,AK,Alaska,"Architecture and engineering occupations",6600,61.385,-152.2683
2007,AK,Alaska,"Life, physical, and social science occupations",6290,61.385,-152.2683
2007,AK,Alaska,"Community and social services occupations",5530,61.385,-152.2683
2007,AK,Alaska,"Legal occupations",1800,61.385,-152.2683
2007,AK,Alaska,"Education, training, and library occupations",21380,61.385,-152.2683
2007,AK,Alaska,"Arts, design, entertainment, sports, and media occupations",2780,61.385,-152.2683
2007,AK,Alaska,"Healthcare practitioners and technical occupations",13350,61.385,-152.2683
2007,AK,Alaska,"Healthcare support occupations",6090,61.385,-152.2683
2007,AK,Alaska,"Protective service occupations",8590,61.385,-152.2683
2007,AK,Alaska,"Food preparation and serving related occupations",22820,61.385,-152.2683
2007,AK,Alaska,"Building and grounds cleaning and maintenance occupations",10180,61.385,-152.2683
2007,AK,Alaska,"Personal care and service occupations",11190,61.385,-152.2683
2007,AK,Alaska,"Sales and related occupations",25460,61.385,-152.2683
2007,AK,Alaska,"Office and administrative support occupations",49310,61.385,-152.2683
2007,AK,Alaska,"Farming, fishing, and forestry occupations",420,61.385,-152.2683
2007,AK,Alaska,"Construction and extraction occupations",21990,61.385,-152.2683
2007,AK,Alaska,"Installation, maintenance, and repair occupations",16020,61.385,-152.2683
2007,AK,Alaska,"Production occupations",12380,61.385,-152.2683
2007,AK,Alaska,"Transportation and material moving occupations",22760,61.385,-152.2683
2007,AZ,Arizona,"Management occupations",129630,33.7712,-111.3877
2007,AZ,Arizona,"Business and financial operations occupations",117650,33.7712,-111.3877
2007,AZ,Arizona,"Computer and mathematical occupations",56630,33.7712,-111.3877
2007,AZ,Arizona,"Architecture and engineering occupations",59680,33.7712,-111.3877
2007,AZ,Arizona,"Life, physical, and social science occupations",18520,33.7712,-111.3877
2007,AZ,Arizona,"Community and social services occupations",27140,33.7712,-111.3877
2007,AZ,Arizona,"Legal occupations",16790,33.7712,-111.3877
2007,AZ,Arizona,"Education, training, and library occupations",137700,33.7712,-111.3877
2007,AZ,Arizona,"Arts, design, entertainment, sports, and media occupations",28340,33.7712,-111.3877
2007,AZ,Arizona,"Healthcare practitioners and technical occupations",115360,33.7712,-111.3877
2007,AZ,Arizona,"Healthcare support occupations",60460,33.7712,-111.3877
2007,AZ,Arizona,"Protective service occupations",70580,33.7712,-111.3877
2007,AZ,Arizona,"Food preparation and serving related occupations",242970,33.7712,-111.3877
2007,AZ,Arizona,"Building and grounds cleaning and maintenance occupations",100960,33.7712,-111.3877
2007,AZ,Arizona,"Personal care and service occupations",69510,33.7712,-111.3877
2007,AZ,Arizona,"Sales and related occupations",284970,33.7712,-111.3877
2007,AZ,Arizona,"Office and administrative support occupations",512790,33.7712,-111.3877
2007,AZ,Arizona,"Farming, fishing, and forestry occupations",13750,33.7712,-111.3877
2007,AZ,Arizona,"Construction and extraction occupations",203240,33.7712,-111.3877
2007,AZ,Arizona,"Installation, maintenance, and repair occupations",100970,33.7712,-111.3877
2007,AZ,Arizona,"Production occupations",125230,33.7712,-111.3877
2007,AZ,Arizona,"Transportation and material moving occupations",155160,33.7712,-111.3877
2007,AR,Arkansas,"Management occupations",44430,34.9513,-92.3809
2007,AR,Arkansas,"Business and financial operations occupations",35360,34.9513,-92.3809
2007,AR,Arkansas,"Computer and mathematical occupations",16910,34.9513,-92.3809
2007,AR,Arkansas,"Architecture and engineering occupations",14290,34.9513,-92.3809
2007,AR,Arkansas,"Life, physical, and social science occupations",7870,34.9513,-92.3809
2007,AR,Arkansas,"Community and social services occupations",15080,34.9513,-92.3809
2007,AR,Arkansas,"Legal occupations",5790,34.9513,-92.3809
2007,AR,Arkansas,"Education, training, and library occupations",70550,34.9513,-92.3809
2007,AR,Arkansas,"Arts, design, entertainment, sports, and media occupations",9020,34.9513,-92.3809
2007,AR,Arkansas,"Healthcare practitioners and technical occupations",65930,34.9513,-92.3809
2007,AR,Arkansas,"Healthcare support occupations",31160,34.9513,-92.3809
2007,AR,Arkansas,"Protective service occupations",23510,34.9513,-92.3809
2007,AR,Arkansas,"Food preparation and serving related occupations",93480,34.9513,-92.3809
2007,AR,Arkansas,"Building and grounds cleaning and maintenance occupations",34820,34.9513,-92.3809
2007,AR,Arkansas,"Personal care and service occupations",23310,34.9513,-92.3809
2007,AR,Arkansas,"Sales and related occupations",121190,34.9513,-92.3809
2007,AR,Arkansas,"Office and administrative support occupations",181110,34.9513,-92.3809
2007,AR,Arkansas,"Farming, fishing, and forestry occupations",6440,34.9513,-92.3809
2007,AR,Arkansas,"Construction and extraction occupations",**,34.9513,-92.3809
2007,AR,Arkansas,"Installation, maintenance, and repair occupations",52260,34.9513,-92.3809
2007,AR,Arkansas,"Production occupations",141890,34.9513,-92.3809
2007,AR,Arkansas,"Transportation and material moving occupations",122640,34.9513,-92.3809
2007,CA,California,"Management occupations",839270,36.17,-119.7462
2007,CA,California,"Business and financial operations occupations",762020,36.17,-119.7462
2007,CA,California,"Computer and mathematical occupations",394840,36.17,-119.7462
2007,CA,California,"Architecture and engineering occupations",334030,36.17,-119.7462
2007,CA,California,"Life, physical, and social science occupations",163210,36.17,-119.7462
2007,CA,California,"Community and social services occupations",190470,36.17,-119.7462
2007,CA,California,"Legal occupations",111780,36.17,-119.7462
2007,CA,California,"Education, training, and library occupations",979040,36.17,-119.7462
2007,CA,California,"Arts, design, entertainment, sports, and media occupations",281520,36.17,-119.7462
2007,CA,California,"Healthcare practitioners and technical occupations",634760,36.17,-119.7462
2007,CA,California,"Healthcare support occupations",331290,36.17,-119.7462
2007,CA,California,"Protective service occupations",345890,36.17,-119.7462
2007,CA,California,"Food preparation and serving related occupations",1256930,36.17,-119.7462
2007,CA,California,"Building and grounds cleaning and maintenance occupations",466280,36.17,-119.7462
2007,CA,California,"Personal care and service occupations",343120,36.17,-119.7462
2007,CA,California,"Sales and related occupations",1582930,36.17,-119.7462
2007,CA,California,"Office and administrative support occupations",2718950,36.17,-119.7462
2007,CA,California,"Farming, fishing, and forestry occupations",189510,36.17,-119.7462
2007,CA,California,"Construction and extraction occupations",794020,36.17,-119.7462
2007,CA,California,"Installation, maintenance, and repair occupations",508820,36.17,-119.7462
2007,CA,California,"Production occupations",960440,36.17,-119.7462
2007,CA,California,"Transportation and material moving occupations",1013430,36.17,-119.7462
2007,CO,Colorado,"Management occupations",103410,39.0646,-105.3272
2007,CO,Colorado,"Business and financial operations occupations",122710,39.0646,-105.3272
2007,CO,Colorado,"Computer and mathematical occupations",81700,39.0646,-105.3272
2007,CO,Colorado,"Architecture and engineering occupations",57230,39.0646,-105.3272
2007,CO,Colorado,"Life, physical, and social science occupations",28770,39.0646,-105.3272
2007,CO,Colorado,"Community and social services occupations",27650,39.0646,-105.3272
2007,CO,Colorado,"Legal occupations",18050,39.0646,-105.3272
2007,CO,Colorado,"Education, training, and library occupations",125450,39.0646,-105.3272
2007,CO,Colorado,"Arts, design, entertainment, sports, and media occupations",38110,39.0646,-105.3272
2007,CO,Colorado,"Healthcare practitioners and technical occupations",102840,39.0646,-105.3272
2007,CO,Colorado,"Healthcare support occupations",44880,39.0646,-105.3272
2007,CO,Colorado,"Protective service occupations",48090,39.0646,-105.3272
2007,CO,Colorado,"Food preparation and serving related occupations",202150,39.0646,-105.3272
2007,CO,Colorado,"Building and grounds cleaning and maintenance occupations",76050,39.0646,-105.3272
2007,CO,Colorado,"Personal care and service occupations",60010,39.0646,-105.3272
2007,CO,Colorado,"Sales and related occupations",259120,39.0646,-105.3272
2007,CO,Colorado,"Office and administrative support occupations",381530,39.0646,-105.3272
2007,CO,Colorado,"Farming, fishing, and forestry occupations",3620,39.0646,-105.3272
2007,CO,Colorado,"Construction and extraction occupations",146010,39.0646,-105.3272
2007,CO,Colorado,"Installation, maintenance, and repair occupations",90110,39.0646,-105.3272
2007,CO,Colorado,"Production occupations",102730,39.0646,-105.3272
2007,CO,Colorado,"Transportation and material moving occupations",138010,39.0646,-105.3272
2007,CT,Connecticut,"Management occupations",103360,41.5834,-72.7622
2007,CT,Connecticut,"Business and financial operations occupations",83510,41.5834,-72.7622
2007,CT,Connecticut,"Computer and mathematical occupations",47330,41.5834,-72.7622
2007,CT,Connecticut,"Architecture and engineering occupations",35030,41.5834,-72.7622
2007,CT,Connecticut,"Life, physical, and social science occupations",14790,41.5834,-72.7622
2007,CT,Connecticut,"Community and social services occupations",31000,41.5834,-72.7622
2007,CT,Connecticut,"Legal occupations",13800,41.5834,-72.7622
2007,CT,Connecticut,"Education, training, and library occupations",127900,41.5834,-72.7622
2007,CT,Connecticut,"Arts, design, entertainment, sports, and media occupations",22320,41.5834,-72.7622
2007,CT,Connecticut,"Healthcare practitioners and technical occupations",89850,41.5834,-72.7622
2007,CT,Connecticut,"Healthcare support occupations",53400,41.5834,-72.7622
2007,CT,Connecticut,"Protective service occupations",36700,41.5834,-72.7622
2007,CT,Connecticut,"Food preparation and serving related occupations",123250,41.5834,-72.7622
2007,CT,Connecticut,"Building and grounds cleaning and maintenance occupations",59030,41.5834,-72.7622
2007,CT,Connecticut,"Personal care and service occupations",45410,41.5834,-72.7622
2007,CT,Connecticut,"Sales and related occupations",178410,41.5834,-72.7622
2007,CT,Connecticut,"Office and administrative support occupations",293460,41.5834,-72.7622
2007,CT,Connecticut,"Farming, fishing, and forestry occupations",1230,41.5834,-72.7622
2007,CT,Connecticut,"Construction and extraction occupations",56920,41.5834,-72.7622
2007,CT,Connecticut,"Installation, maintenance, and repair occupations",55760,41.5834,-72.7622
2007,CT,Connecticut,"Production occupations",114620,41.5834,-72.7622
2007,CT,Connecticut,"Transportation and material moving occupations",95140,41.5834,-72.7622
2007,DE,Delaware,"Management occupations",17740,39.3498,-75.5148
2007,DE,Delaware,"Business and financial operations occupations",25020,39.3498,-75.5148
2007,DE,Delaware,"Computer and mathematical occupations",12630,39.3498,-75.5148
2007,DE,Delaware,"Architecture and engineering occupations",7520,39.3498,-75.5148
2007,DE,Delaware,"Life, physical, and social science occupations",7920,39.3498,-75.5148
2007,DE,Delaware,"Community and social services occupations",6450,39.3498,-75.5148
2007,DE,Delaware,"Legal occupations",4570,39.3498,-75.5148
2007,DE,Delaware,"Education, training, and library occupations",22680,39.3498,-75.5148
2007,DE,Delaware,"Arts, design, entertainment, sports, and media occupations",4580,39.3498,-75.5148
2007,DE,Delaware,"Healthcare practitioners and technical occupations",23000,39.3498,-75.5148
2007,DE,Delaware,"Healthcare support occupations",10840,39.3498,-75.5148
2007,DE,Delaware,"Protective service occupations",9050,39.3498,-75.5148
2007,DE,Delaware,"Food preparation and serving related occupations",34610,39.3498,-75.5148
2007,DE,Delaware,"Building and grounds cleaning and maintenance occupations",14550,39.3498,-75.5148
2007,DE,Delaware,"Personal care and service occupations",8370,39.3498,-75.5148
2007,DE,Delaware,"Sales and related occupations",47250,39.3498,-75.5148
2007,DE,Delaware,"Office and administrative support occupations",77220,39.3498,-75.5148
2007,DE,Delaware,"Farming, fishing, and forestry occupations",750,39.3498,-75.5148
2007,DE,Delaware,"Construction and extraction occupations",22420,39.3498,-75.5148
2007,DE,Delaware,"Installation, maintenance, and repair occupations",16770,39.3498,-75.5148
2007,DE,Delaware,"Production occupations",26450,39.3498,-75.5148
2007,DE,Delaware,"Transportation and material moving occupations",25600,39.3498,-75.5148
2007,FL,Florida,"Management occupations",230650,27.8333,-81.717
2007,FL,Florida,"Business and financial operations occupations",391170,27.8333,-81.717
2007,FL,Florida,"Computer and mathematical occupations",148310,27.8333,-81.717
2007,FL,Florida,"Architecture and engineering occupations",130460,27.8333,-81.717
2007,FL,Florida,"Life, physical, and social science occupations",46900,27.8333,-81.717
2007,FL,Florida,"Community and social services occupations",80780,27.8333,-81.717
2007,FL,Florida,"Legal occupations",70160,27.8333,-81.717
2007,FL,Florida,"Education, training, and library occupations",396010,27.8333,-81.717
2007,FL,Florida,"Arts, design, entertainment, sports, and media occupations",97360,27.8333,-81.717
2007,FL,Florida,"Healthcare practitioners and technical occupations",418750,27.8333,-81.717
2007,FL,Florida,"Healthcare support occupations",207440,27.8333,-81.717
2007,FL,Florida,"Protective service occupations",214810,27.8333,-81.717
2007,FL,Florida,"Food preparation and serving related occupations",739290,27.8333,-81.717
2007,FL,Florida,"Building and grounds cleaning and maintenance occupations",308160,27.8333,-81.717
2007,FL,Florida,"Personal care and service occupations",210110,27.8333,-81.717
2007,FL,Florida,"Sales and related occupations",1016500,27.8333,-81.717
2007,FL,Florida,"Office and administrative support occupations",1549160,27.8333,-81.717
2007,FL,Florida,"Farming, fishing, and forestry occupations",36090,27.8333,-81.717
2007,FL,Florida,"Construction and extraction occupations",497500,27.8333,-81.717
2007,FL,Florida,"Installation, maintenance, and repair occupations",331400,27.8333,-81.717
